response	trial_nr	t_start	t_set	t_ball	t_release	t_response	t_goal	t_change
v	18	249.82248738599992	0.21855323199997656	0.5282635210005537	0	0.26175303799936955	0.8774458090010739	0.5950944100004563
n	19	252.23039653500018	0.3788059769995016	0.6862232920011593	0	0.15993142499792157	1.0354145170003903	0.6529019570007222
v	20	254.79609973399965	0.26118201999997837	0.5698004109999601	0	0.1266616079992673	0.9022696530009853	0.7034008580012596
v	21	257.95383831800063	0.06336221600031422	0.37779584400050226	0	0.20896591899872874	0.7269765689998167	0.5444224830007443
n	22	260.21048411000083	0.0316452789993491	0.3370494779992441	0	0.16112764699937543	0.6696373899994796	-260.21048411000083
v	23	263.1351372950012	0.2834104879984807	0.5948536269988836	0	0.15469467799994163	0.9439722669994808	0.628157093999107
n	24	265.6091127380005	0.02527881000060006	0.33677022499978193	0	0.16287652800019714	0.6859579299998586	0.4035071529997367
n	25	267.8251827240001	0.23307759999988775	0.5532634570008668	0	0.29033373599850165	0.8858047710000392	-267.8251827240001
v	26	270.9663309429998	0.2753339720002259	0.5944626690015866	0	0.12402788099825557	0.9269717679999303	-270.9663309429998
n	27	274.14832657100123	0.1811508029986726	0.49489727999934985	0	0.18594470499920135	0.8440106569996715	-274.14832657100123
v	28	276.52228742700026	0.5120612070004427	0.8200159580010222	0	0.3345766439979343	1.1701278199998342	0.9200791319999553
v	29	279.2213432820008	0.11630507900008524	0.43687891499939724	0	0.23471578499993484	0.7861581289998867	-279.2213432820008
n	30	281.5372234839997	0.2726985990011599	0.586931881000055	0	0.15286729400031618	0.9194528970001556	0.5869597569999314
v	31	284.7116526660011	0.27516858099988895	0.5948355459986487	0	0.17050769799971022	0.944052032999025	0.5615544100000989
n	32	287.1854155460005	0.27305682199948933	0.5869848239999556	0	0.15273766399877786	0.9361472349992255	-287.1854155460005
v	33	289.65142246100004	0.09461863100113987	0.4035872250005923	0	0.2300850249994255	0.7361252070004412	0.5702450059998228
v	34	292.64305516700006	0.1747602020004706	0.49427914100124326	0	0.2924821609976789	0.826833864000946	0.427712798000357
n	35	295.724717987001	0.19722802300020703	0.5116933239987702	0	0.1367991000006441	0.8608661179987394	0.4450734160000138
v	36	298.1155677930001	0.06311027599986119	0.37017437600115954	0	0.12752054299744486	0.7193075650011451	-298.1155677930001
n	37	300.36442590300067	0.22260595499938063	0.5372358700005861	0	0.30367406899858906	0.8697384419992886	0.503840207000394
n	38	303.48919046800074	0.20988243899955705	0.5280891010006599	0	0.31619437399785966	0.860696759998973	-303.48919046800074
v	39	306.605251590001	0.214262442999825	0.5277357979994122	0	0.3123618149984395	0.8603326409993315	-306.605251590001
n	40	309.720701749	0.23334498300027917	0.5446008170001733	0	0.26853978999861283	0.8771504530013772	0.6446443370005
n	41	312.85295521100124	0.22920033699847409	0.5447864509987994	0	0.24823512900002243	0.8773712379988865	0.5448160079995432
n	42	315.9851098470008	0.20162674099992728	0.5115758619995177	0	0.30887399099992763	0.8441269189988816	-315.9851098470008
n	43	319.0844924330013	0.0777642779994494	0.39461132299948076	0	0.17453573199964012	0.7271668609992048	0.3279967759990541
v	44	322.066757210001	0.19951289399978123	0.5113834000003408	0	0.37161084299805225	0.8612176249989716	0.5447750000002998
v	45	324.4576789390012	0.273382022000078	0.5863844319992495	0	0.27368491099878156	0.918936803998804	-324.4576789390012
n	46	327.6317953030011	0.09878851400026178	0.41129913199984003	0	0.170739256998786	0.743871221999143	0.5779988710000907
v	47	330.6307589950011	0.0442047239994281	0.3613705409989052	0	0.2776562719991489	0.6939719999991212	0.3613997889988241
n	48	333.58021740000004	0.11830617400119081	0.42766472900075314	0	0.2780336499981786	0.7602284349995898	-333.58021740000004
n	49	336.5955937150011	0.27084304799973324	0.5779671789987333	0	0.22430062099920178	0.9271752759996161	-336.5955937150011
v	50	339.0528326399999	0.15792074800083356	0.46999981200133334	0	0.17117773399877478	0.8026148610006203	0.4700280870001734
n	51	342.11013468800047	0.044443946000683354	0.3618958080005541	0	0.24590061599883484	0.6943155869994371	-342.11013468800047
v	52	345.0597933300014	0.2793640689997119	0.5944569119983498	0	0.16785678899941558	0.9436606069994014	-345.0597933300014
n	53	347.536129383001	0.28259902100035106	0.6006835169991973	0	0.2612472679993516	0.9332712199993694	-347.536129383001
v	54	350.7248517179996	0.2708172460006608	0.5776359470000898	0	0.255570892999458	0.9268719090014201	0.711073671000122
v	55	353.1818288760005	0.2854290970008151	0.6032141329997103	0	0.1891168869988178	0.9357484510001086	0.703236625999125
n	56	356.3729462600004	0.2458329370001593	0.5612041900003533	0	0.14406258899907698	0.8936996949996683	-356.3729462600004
v	57	359.52140409800086	0.14543639399926178	0.4617903389989806	0	0.26306378899971605	0.7942167719993449	0.4284326229990256
n	58	362.5706625510011	0.28135961999942083	0.5947573859994009	0	0.2728840809995745	0.9274189919997298	-362.5706625510011
v	59	365.75305777500034	0.25838652399943385	0.5780919379994884	0	0.15516012700027204	0.9106459590002487	-365.75305777500034
n	60	368.9189925749997	0.2522270900008152	0.5611609110001154	0	0.1825433920002979	0.9103340590008884	0.6278690940016531
v	61	371.35889141700136	0.14922605299943825	0.47050380799919367	0	0.12110371099879558	0.8030473019989586	-371.35889141700136
v	62	374.4170875790005	0.21833932399931655	0.5279876490003517	0	0.1414198549991852	0.8605646140003955	0.6943272389999038
v	63	377.5326629270003	0.2544570800000656	0.5614929790008318	0	0.24876872499771707	0.8939970400006132	-377.5326629270003
v	64	380.68217223800093	0.24149029900036112	0.5609663880004518	0	0.11572517299828178	0.8935110929996881	-380.68217223800093
n	1	392.87690960300097	0.6314343039994128	0.9457074969996029	0	0.1121651519988518	1.2781868199999735	1.0125128399995447
n	2	396.4103682060013	0.2899560269997892	0.6111795580000035	0	0.13738740899862023	0.9603750930000388	0.711209440998573
v	3	398.9006268989997	0.27266592900014075	0.5868469550005102	0	0.12741241899857414	0.9360092900005839	-398.9006268989997
v	4	401.3665181610013	0.2773934749984619	0.5868501459990512	0	0.12557708099848242	0.9193657099986012	-401.3665181610013
v	5	404.5410018010007	0.24772553799994057	0.5613225430006423	0	0.08865066399812349	0.9106266389990196	0.7277617959989584
n	6	406.9813907099997	0.18289445000118576	0.5035549670010369	0	0.0661912809991918	0.8360798700014129	0.6032388260009611
n	7	410.0726101220007	0.29185662000054435	0.6114237559995672	0	0.11542914900019241	0.9605203150003945	-410.0726101220007
v	8	412.56276185500064	0.3063214310004696	0.6204385080000065	0	0.1360040019990265	0.952955335000297	0.7204226979993109
v	9	415.7709254110014	0.30488517099911405	0.6112319299991213	0	0.12103334899984475	0.9438155739990179	0.6447501859984186
n	10	418.9698952580002	0.5381660069997452	0.8445038410009147	0	0.11295667299782508	1.1937214660010795	-418.9698952580002
v	11	421.69325793700045	0.4402899079996132	0.7537169349998294	0	0.13622019099966565	1.1028692929994577	-421.69325793700045
n	12	424.3257717920005	0.27078004400027567	0.5870283770000242	0	0.15858333999858587	0.9363321580003685	-424.3257717920005
v	13	426.7918509760002	0.20413991900022666	0.5202254300002096	0	0.3193630599998869	0.8536201919996529	0.4871934750008222
v	14	429.8996058920002	0.010940922000372666	0.32821718200102623	0	0.2518560179978522	0.6607964120012184	0.4949534620009217
v	15	432.8154601290007	0.26062146500044037	0.5780415459994401	0	0.10997576699992351	0.9105801330006216	-432.8154601290007
v	16	435.9810427470002	0.1436153100003139	0.4614981770009763	0	0.15696255399780057	0.8107029439997859	-435.9810427470002
n	17	438.32178984500024	0.1868712730010884	0.5033159499998874	0	0.2303678049993323	0.852565842000331	-438.32178984500024
v	18	440.7044811730011	0.24381763899873476	0.5533073730002798	0	0.1980911209975602	0.8857896159988741	-440.7044811730011
v	19	443.8451237400004	0.23963186500077427	0.5449476739995589	0	0.1617428569988988	0.8941752339997038	-443.8451237400004
v	20	446.26933143099996	0.20804469300128403	0.5201129050001327	0	0.13022786299916334	0.8525108040012128	0.4866893760008679
n	21	449.37711537700125	0.28324732100008987	0.5945453320000524	0	0.20399485699817888	0.9270685349983978	-449.37711537700125
v	22	452.5589418560012	0.2706551319988648	0.578411791999315	0	0.24635156799922697	0.9109492279985716	-452.5589418560012
n	23	455.72538242300107	0.28763323499879334	0.5943133099990519	0	0.10410701699947822	0.9435030160002498	0.5943403629989916
v	24	458.19884869400084	0.27759891799905745	0.5868295759992179	0	0.13445649899949785	0.9192768899993098	0.7200600630003464
v	25	461.37311261600007	0.279563969001174	0.5948165850004443	0	0.160003749999305	0.927333286999783	0.528166293999675
v	26	464.5556169240008	0.27301154199994926	0.5945969309996144	0	0.08979078799893614	0.9438876189997245	0.6279998379995959
n	27	467.02936972099997	0.2633835540000291	0.5700861140012421	0	0.0806918059988675	0.9192725339999015	-467.02936972099997
v	28	469.47899443999995	0.24583223199988424	0.5530976250011008	0	0.15224491999833845	0.8855670770008146	0.6197451150001143
v	29	472.61958545500056	0.2896762830005173	0.6114240909992077	0	0.11338918299952638	0.9439686919995438	-472.61958545500056
n	30	475.8185639969997	0.28234093800165283	0.5948745140012761	0	0.15487763999772142	0.9273359930011793	-475.8185639969997
n	31	479.0007469909997	0.1960620950012526	0.5116630510001414	0	0.30384383399905346	0.844212490001155	-479.0007469909997
v	32	482.100167089	0.2812753750004049	0.5945615199998429	0	0.29754648599919165	0.9437513949997083	0.7612740130007296
v	33	484.57373077100056	0.18323776599936537	0.503629283999544	0	0.12292744399928779	0.8528699460002827	-484.57373077100056
n	34	486.95614651800133	0.2810842409999168	0.5871520869986853	0	0.17710311399969214	0.9362668479989225	0.5204837849996693
v	35	489.42266459500024	0.09451377100049285	0.40324957400116546	0	0.22240292599781242	0.7523887179995654	0.5366713189996517
n	36	491.70495019900045	0.3086812530000316	0.6200727609993919	0	0.17955835700013267	0.9693427120000706	-491.70495019900045
v	37	494.2040799410006	0.2897860060002131	0.6035736960002396	0	0.16929465599787363	0.952721997999106	0.670201482000266
n	38	496.68660064899996	0.254878206000285	0.5702427070009435	0	0.10364422699785791	0.9194725249999465	-496.68660064899996
v	39	499.13591382100094	0.2374963399997796	0.5535785779993603	0	0.15904174499883084	0.9027451439997094	0.5869389780000347
n	40	501.56838114700076	0.26873599399914383	0.5869208189997153	0	0.157292043999405	0.9194720169998618	-501.56838114700076
v	41	504.7430376510001	0.21420335200127738	0.5280035079995287	0	0.13755312799912645	0.8605278819995874	0.6613005740000517
v	42	507.8590262310008	0.1702929570001288	0.4777407729998231	0	0.12791200499850675	0.826898973000425	-507.8590262310008
n	43	510.21574135300034	0.22243098999933864	0.5368504489997576	0	0.10415733700028795	0.8860967260006873	-510.21574135300034
v	44	512.6320311620002	0.2773423790004017	0.5864906019996852	0	0.13449139399926935	0.9356825550003123	0.5865186850005557
v	45	515.0974108070004	0.27697457899921574	0.5870222789999389	0	0.20434182699864323	0.9362434800004849	-515.0974108070004
v	46	517.5634842590007	0.2582613729991863	0.5702204499993968	0	0.11542645599911339	0.9193776689990045	0.5702501039995695
n	47	520.0126556470004	0.21001838099982706	0.5208693490003498	0	0.11549893199844519	0.8694496419993811	-520.0126556470004
v	48	522.412022081	0.2666321180004161	0.5867438830009633	0	0.08240304699938861	0.9359579909996683	0.5201625040008366
n	49	524.8778966380014	0.1996549759987829	0.5201278859985905	0	0.25892734300032316	0.8693461359998764	0.5868873999988864
v	50	527.2773010420005	0.3209895609998057	0.6367298269997264	0	0.15092246199856163	0.9858600419993309	0.7367121600000246
n	51	529.7931389510013	0.15742590199988626	0.47004465499958314	0	0.10584090999873297	0.8025997360000474	0.6031300479990023
v	52	532.850784100001	0.28337053599898354	0.5947657609995076	0	0.1794973249998293	0.943950077999034	0.5281211319997965
v	53	535.324636198	0.1217192870008148	0.4368536519996269	0	0.11955637299979571	0.7693588559995987	0.6031984130004275
n	54	538.3491992130002	0.2728902899998502	0.5946188750003785	0	0.11333727999954135	0.9271765379999124	-538.3491992130002
n	55	541.5318920690006	0.29796130300019286	0.6109642650008027	0	0.1384209279985953	0.9435290139990684	0.5776620769993315
n	56	544.7305306840008	0.27536099899953115	0.5946100959990872	0	0.12412057599976833	0.9438297140004579	-544.7305306840008
v	57	547.2042249690003	0.07379300499997044	0.38690298999972583	0	0.16215192999879946	0.7194313780000812	-547.2042249690003
n	58	550.178568759	0.2286583420009265	0.544937992000996	0	0.19841839199943934	0.8941061580007954	0.5449672820013802
v	59	552.6029883290012	0.2352720879989647	0.5530773979990045	0	0.10942358799911744	0.9022722379995685	-552.6029883290012
n	60	555.0350561169998	0.09236248600063846	0.40360869000141975	0	0.13877766599762253	0.7361709650012926	-555.0350561169998
v	61	558.0261690040006	0.27706944099918474	0.5948154950001481	0	0.10852690799947595	0.9273887439994724	0.6282103649991768
v	62	561.2082246170012	0.2539520869995613	0.5617783889993007	0	0.08754500299983192	0.9110124399994675	0.5285444919991278
n	63	563.6491422239997	0.2611389040012	0.5701153100017109	0	0.13430130099732196	0.9026297620002879	-563.6491422239997
n	64	566.8071724260008	0.07978872199964826	0.3948773179999989	0	0.31959576799818024	0.7279327670003113	-566.8071724260008
v	1	574.2715066199999	0.5837886600002093	0.8944368910015328	0	0.25183168499825115	1.226882626000588	1.0276162740010477
n	2	577.7535122219997	0.5332190000008268	0.8445661929999915	0	0.1160075739990134	1.1937462750011036	-577.7535122219997
v	3	580.4777733610008	0.26472561199989286	0.5861780260001979	0	0.13792087099864148	0.9354050040001312	0.5862060039999051
v	4	582.943028267	0.2958927159997984	0.6034927290002088	0	0.31939351499931945	0.936834207001084	-582.943028267
n	5	586.1341940860002	0.36841366199951153	0.6780362440003955	0	0.23765149599967117	1.0105062510010612	-586.1341940860002
v	6	589.399766546001	0.27083202399990114	0.5781409969986271	0	0.13613158999942243	0.9272981619997154	-589.399766546001
n	7	591.8572131279998	0.08626426699993317	0.40329133900013403	0	0.27752950099966256	0.735788706000676	-591.8572131279998
n	8	594.8480594829998	0.23930572800054506	0.5448951170001237	0	0.3131100909995439	0.8773720330009382	0.5114581750003708
v	9	597.9806957010005	0.37802262699915445	0.6944371800000226	0	0.2153304079984082	1.0436619249994692	-597.9806957010005
v	10	600.5539543190007	0.21282164699914574	0.5204255089993239	0	0.32779265600038343	0.8538231090005866	-600.5539543190007
v	11	603.6620505589999	0.25705160700090346	0.5780818069997622	0	0.26615378899987263	0.91055503500138	0.5781114689998503
n	12	606.827658139	0.308781125000678	0.6281605380008841	0	0.37049362499783456	0.9778387710011884	0.6947874039997259
v	13	609.3347095580011	0.3125606899993727	0.6202265269985219	0	0.1434124139996129	0.9527694729986251	-609.3347095580011
v	14	612.5425512830006	0.289488070000516	0.6114430140005425	0	0.20836258999770507	0.9606197619996237	-612.5425512830006
n	15	615.0327735480005	0.4471930399995472	0.7537381580004876	0	0.12790779799797747	1.102912751999611	-615.0327735480005
v	16	617.6654808880012	0.24567576099980215	0.5536602519987355	0	0.15936405699903844	0.9027456219992018	0.7205596419989888
n	17	620.0980292460008	0.12614603899965005	0.43708041199897707	0	0.20284546699986095	0.7695236139988992	-620.0980292460008
v	18	623.122900118	0.2922024039999087	0.6110944100000779	0	0.24454871699890646	0.960345960000268	0.5777989110010822
v	19	625.6139678430009	0.2980568780003523	0.6192103470002621	0	0.305436002998249	0.9684317859992007	0.7526268009987689
n	20	628.1120840840013	0.24791167599869368	0.5536683339996671	0	0.11290701599864406	0.8862548529996275	0.6203913099998317
v	21	631.2534485630003	0.26673439200021676	0.5780115979996481	0	0.21954603199992562	0.9271921720010141	0.6779995390006661
n	22	633.7109759970008	0.23328706199936278	0.5530130450006254	0	0.09904713299874857	0.9022338149989082	-633.7109759970008
v	23	636.1432653020001	0.11215854500005662	0.4199838759996055	0	0.17554270700020425	0.7692082890007441	-636.1432653020001
n	24	638.4427812390004	0.3419257080004172	0.6530296860000817	0	0.1550962809997145	1.0022408059994632	0.8200761719999718
v	25	640.9749399640004	0.13651989999925718	0.4534915929998533	0	0.1744815509991895	0.7860701940007857	0.3870095090005634
v	26	644.0162560999997	0.3193385890008358	0.6278368930015858	0	0.1427954039991164	0.9770608140006516	-644.0162560999997
n	27	646.5232423400012	0.06107795199932298	0.37020238999866706	0	0.26143774899901473	0.7193503919988871	0.33687605900013295
v	28	648.7730783140014	0.25847952899857773	0.569589257998814	0	0.08462359399891284	0.9187497639995854	-648.7730783140014
n	29	651.2221683340013	0.09047486199960986	0.40312247299880255	0	0.17767718199866067	0.7522748060000595	-651.2221683340013
v	30	653.5043238890012	0.2563936639999156	0.5701439280001068	0	0.3205616659979569	0.9035624909993203	-653.5043238890012
n	31	656.6620839460011	0.32163749400024244	0.6280833429991617	0	0.14492752899968764	0.9772651839994069	-656.6620839460011
v	32	659.1695275560014	0.1345622099997854	0.4532642089998262	0	0.11641971999779344	0.8024207029993704	-659.1695275560014
n	33	661.5019859580007	0.2899895470000047	0.6033163800002512	0	0.16986099799942167	0.952512186999229	0.6033439179991547
n	34	663.9840462860011	0.3446519970002555	0.6538272549987596	0	0.2933378460002132	0.9863328499995987	-663.9840462860011
v	35	667.2257545290013	0.2143764349984849	0.5277761829984229	0	0.1937291300000652	0.8769737749989872	0.6278722419992846
n	36	669.6326473190002	0.2562676659999852	0.5701196980007808	0	0.09650942999905965	0.9193391780008824	-669.6326473190002
v	37	672.0818191910002	0.2225104890003422	0.536832289000813	0	0.15269866699782142	0.8694071009995241	-672.0818191910002
v	38	675.2067406280003	0.28154326399999263	0.5942846779998945	0	0.37038121099976706	0.943993410000985	-675.2067406280003
v	39	677.680015336	0.12859083300099883	0.43693346899999597	0	0.19881520200033265	0.7695318480000424	0.5036498540011962
v	40	680.7046749580004	0.08821070799967856	0.39470299700042233	0	0.1761519989995577	0.7439027470009023	-680.7046749580004
v	41	682.9785124900009	0.23081292399911035	0.5368248679988028	0	0.14416805700057012	0.869302033999702	-682.9785124900009
v	42	686.103122165001	0.22515494499930355	0.544527472999107	0	0.26788563599984627	0.8770912689997203	0.7112061030002224
