trial	speed	player_pos	ball_pos	direction	distance	broad	jitter	trial_nr	block
49	0.5	4	0	-	8.0	4.0	0.6	44	4
42	0.5	4	0	-	7.0	3.5	0.45	45	4
19	0.5	4	0	+	4.0	2.0	0.75	46	4
24	0.5	4	0	+	4.5	2.25	0.45	47	4
37	0.5	4	0	-	6.5	3.25	0.45	48	4
56	0.5	4	0	+	8.5	4.25	0.45	49	4
21	0.5	4	0	-	4.5	2.25	0.45	50	4
2	0.5	4	0	-	2.0	1.0	0.6	51	4
27	0.5	4	0	+	5.0	2.5	0.9	52	4
17	0.5	4	0	-	4.0	2.0	0.9	53	4
6	0.5	4	0	-	2.5	1.25	0.3	54	4
22	0.5	4	0	-	4.5	2.25	0.75	55	4
38	0.5	4	0	-	6.5	3.25	0.75	56	4
