trial	speed	player_pos	ball_pos	direction	distance	broad	jitter	trial_nr	block
54	0.5	4	0	-	8.5	4.25	0.44999999999999996	25	5
50	0.5	4	0	-	8.0	4.0	0.6	26	5
6	0.5	4	0	-	2.5	1.25	0.75	27	5
2	0.5	4	0	-	2.0	1.0	0.75	28	5
25	0.5	4	0	-	5.0	2.5	0.75	29	5
29	0.5	4	0	-	5.5	2.75	0.9	30	5
15	0.5	4	0	+	3.5	1.75	0.3	31	5
3	0.5	4	0	+	2.0	1.0	0.9	32	5
21	0.5	4	0	-	4.5	2.25	0.6	33	5
24	0.5	4	0	+	4.5	2.25	0.44999999999999996	34	5
28	0.5	4	0	+	5.0	2.5	0.44999999999999996	35	5
12	0.5	4	0	+	3.0	1.5	0.9	36	5
31	0.5	4	0	+	5.5	2.75	0.75	37	5
26	0.5	4	0	-	5.0	2.5	0.9	38	5
27	0.5	4	0	+	5.0	2.5	0.9	39	5
34	0.5	4	0	-	6.0	3.0	0.3	40	5
13	0.5	4	0	-	3.5	1.75	0.6	41	5
1	0.5	4	0	-	2.0	1.0	0.44999999999999996	42	5
49	0.5	4	0	-	8.0	4.0	0.3	43	5
52	0.5	4	0	+	8.0	4.0	0.44999999999999996	44	5
17	0.5	4	0	-	4.0	2.0	0.6	45	5
39	0.5	4	0	+	6.5	3.25	0.75	46	5
18	0.5	4	0	-	4.0	2.0	0.9	47	5
47	0.5	4	0	+	7.5	3.75	0.9	48	5
5	0.5	4	0	-	2.5	1.25	0.9	49	5
42	0.5	4	0	-	7.0	3.5	0.44999999999999996	50	5
10	0.5	4	0	-	3.0	1.5	0.9	51	5
32	0.5	4	0	+	5.5	2.75	0.6	52	5
22	0.5	4	0	-	4.5	2.25	0.3	53	5
55	0.5	4	0	+	8.5	4.25	0.9	54	5
53	0.5	4	0	-	8.5	4.25	0.75	55	5
43	0.5	4	0	+	7.0	3.5	0.75	56	5
40	0.5	4	0	+	6.5	3.25	0.6	1	6
18	0.5	4	0	-	4.0	2.0	0.9	2	6
21	0.5	4	0	-	4.5	2.25	0.6	3	6
28	0.5	4	0	+	5.0	2.5	0.44999999999999996	4	6
3	0.5	4	0	+	2.0	1.0	0.9	5	6
11	0.5	4	0	+	3.0	1.5	0.3	6	6
33	0.5	4	0	-	6.0	3.0	0.44999999999999996	7	6
30	0.5	4	0	-	5.5	2.75	0.9	8	6
24	0.5	4	0	+	4.5	2.25	0.44999999999999996	9	6
6	0.5	4	0	-	2.5	1.25	0.75	10	6
20	0.5	4	0	+	4.0	2.0	0.9	11	6
23	0.5	4	0	+	4.5	2.25	0.6	12	6
39	0.5	4	0	+	6.5	3.25	0.75	13	6
5	0.5	4	0	-	2.5	1.25	0.9	14	6
7	0.5	4	0	+	2.5	1.25	0.44999999999999996	15	6
32	0.5	4	0	+	5.5	2.75	0.6	16	6
25	0.5	4	0	-	5.0	2.5	0.75	17	6
26	0.5	4	0	-	5.0	2.5	0.9	18	6
44	0.5	4	0	+	7.0	3.5	0.3	19	6
48	0.5	4	0	+	7.5	3.75	0.9	20	6
56	0.5	4	0	+	8.5	4.25	0.3	21	6
2	0.5	4	0	-	2.0	1.0	0.75	22	6
34	0.5	4	0	-	6.0	3.0	0.3	23	6
22	0.5	4	0	-	4.5	2.25	0.3	24	6
1	0.5	4	0	-	2.0	1.0	0.44999999999999996	25	6
12	0.5	4	0	+	3.0	1.5	0.9	26	6
55	0.5	4	0	+	8.5	4.25	0.9	27	6
36	0.5	4	0	+	6.0	3.0	0.9	28	6
41	0.5	4	0	-	7.0	3.5	0.75	29	6
19	0.5	4	0	+	4.0	2.0	0.75	30	6
27	0.5	4	0	+	5.0	2.5	0.9	31	6
35	0.5	4	0	+	6.0	3.0	0.9	32	6
17	0.5	4	0	-	4.0	2.0	0.6	33	6
15	0.5	4	0	+	3.5	1.75	0.3	34	6
53	0.5	4	0	-	8.5	4.25	0.75	35	6
47	0.5	4	0	+	7.5	3.75	0.9	36	6
43	0.5	4	0	+	7.0	3.5	0.75	37	6
49	0.5	4	0	-	8.0	4.0	0.3	38	6
37	0.5	4	0	-	6.5	3.25	0.6	39	6
13	0.5	4	0	-	3.5	1.75	0.6	40	6
14	0.5	4	0	-	3.5	1.75	0.44999999999999996	41	6
8	0.5	4	0	+	2.5	1.25	0.44999999999999996	42	6
50	0.5	4	0	-	8.0	4.0	0.6	43	6
52	0.5	4	0	+	8.0	4.0	0.44999999999999996	44	6
31	0.5	4	0	+	5.5	2.75	0.75	45	6
45	0.5	4	0	-	7.5	3.75	0.75	46	6
16	0.5	4	0	+	3.5	1.75	0.9	47	6
29	0.5	4	0	-	5.5	2.75	0.9	48	6
54	0.5	4	0	-	8.5	4.25	0.44999999999999996	49	6
4	0.5	4	0	+	2.0	1.0	0.75	50	6
10	0.5	4	0	-	3.0	1.5	0.9	51	6
38	0.5	4	0	-	6.5	3.25	0.44999999999999996	52	6
46	0.5	4	0	-	7.5	3.75	0.6	53	6
9	0.5	4	0	-	3.0	1.5	0.9	54	6
42	0.5	4	0	-	7.0	3.5	0.44999999999999996	55	6
51	0.5	4	0	+	8.0	4.0	0.6	56	6
13	0.5	4	0	-	3.5	1.75	0.6	1	7
1	0.5	4	0	-	2.0	1.0	0.44999999999999996	2	7
51	0.5	4	0	+	8.0	4.0	0.6	3	7
17	0.5	4	0	-	4.0	2.0	0.6	4	7
33	0.5	4	0	-	6.0	3.0	0.44999999999999996	5	7
44	0.5	4	0	+	7.0	3.5	0.3	6	7
28	0.5	4	0	+	5.0	2.5	0.44999999999999996	7	7
45	0.5	4	0	-	7.5	3.75	0.75	8	7
53	0.5	4	0	-	8.5	4.25	0.75	9	7
