response	trial_nr	t_start	t_set	t_ball	t_release	t_response	t_goal
n	75	220.51414782599932	0.22250147100021422	0.5357217689997924	0	0.09886019900113752	0.8513461849997839
v	76	222.8964578260002	0.05724756099880324	0.36927321199982543	0	0.15427872199870762	0.6681184589997429
n	77	225.82144159400013	0.1953284809987963	0.5101188979988365	0	0.12051621600039653	0.8088614209991647
n	78	228.8894033100005	0.2876192199983052	0.6077363730000798	0	0.13934380199862062	0.9235062539992214
v	79	231.34365442200033	0.042136952999499044	0.35274159599975974	0	0.13226920699889888	0.6683431539986486
n	80	233.5434195050002	0.017300094999882276	0.33575560799909	0	0.20515203899958578	0.6346531899998809
n	81	236.4357348149988	0.22100730100100918	0.5424111780012026	0	0.25841668599969125	0.8412085470008606
n	82	239.53455151100025	0.13014515699978801	0.44264386400027433	0	0.14737019799940754	0.7414210979986819
n	83	242.5348888489989	0.050734618000205955	0.3582570270009455	0	0.11154024099960225	0.6735167590013589
v	84	244.73966549899887	0.04631320500084257	0.35260725200168963	0	0.13652537299822143	0.6514850210005534
n	85	247.64947568999924	0.2647047530008422	0.5754560850000416	0	0.13988802899984876	0.8906369739997899
n	86	250.07137698000042	0.4342824909999763	0.7524835709991748	0	0.2845546259995899	1.0679413669986388
v	87	252.67117863800013	0.24350536899873987	0.5517417179999029	0	0.12580145100037043	0.8506645319994277
n	88	255.78012602200033	0.21414564199949382	0.5253530829995725	0	0.10711578600057692	0.840932248000172
v	89	258.1529542190001	0.1681569379998109	0.48522674800005916	0	0.11078056299993477	0.8006403130002582
n	90	260.4846101429994	0.285319550001077	0.6026035369995952	0	0.12575225100044918	0.9182806740009255
v	91	262.93346097299946	0.26026709799953096	0.5699298939998698	0	0.09320495599968126	0.8684626529993693
n	92	266.06225912899936	0.20352185699994152	0.5229868000005808	0	0.13133501799893565	0.8388243789995613
v	93	268.4324566380001	0.008702584000275237	0.3193050760000915	0	0.22878364699863596	0.6179700809989299
v	94	271.30945153500033	0.2520944169991708	0.5745540919997438	0	0.12104373199872498	0.8734405750001315
v	95	274.4417274259995	0.27962409400061006	0.5912947939996229	0	0.0761529370010976	0.8900799630009715
v	96	277.5906922089998	0.27496197700020275	0.5912725260004663	0	0.2309280769986799	0.8902269240006717
v	97	280.7418299210003	0.21209488499880536	0.5224580529993545	0	0.1331381899999542	0.8211899429988989
n	98	283.82293517700055	0.17219571599889605	0.4904230929987534	0	0.3395441230004508	0.8070096649989864
n	99	286.160578093999	0.29815155000142113	0.6187462540001434	0	0.15366941499996756	0.917420857000252
v	100	289.336629419	0.20161218999965058	0.508234007998908	0	0.1446924250012671	0.8071245999999519
n	101	292.4021314139991	0.07151688800149714	0.39184083200052555	0	0.12308808799934923	0.7075130590001208
v	102	294.6415320220003	0.06514365399925737	0.3854875239994726	0	0.07438144600018859	0.6840106620002189
v	103	297.5843985110005	0.2501511069986009	0.5582207069983269	0	0.11897985300129221	0.8734381669983122
n	104	299.98944513899914	0.1974113779997424	0.5189335590002884	0	0.1047339020005893	0.8343869290001749
v	105	302.35598535700046	0.21414413299862645	0.5350857479988917	0	0.08284456000001228	0.8504706989988335
n	106	304.7381174080001	0.0651097629997821	0.38546510199921613	0	0.13031434399999853	0.7009249299990188
v	107	306.9704886719992	0.19284654500006582	0.5021165360012674	0	0.14934647699919879	0.8178193790008663
n	108	309.3201529170001	0.10582783999961975	0.4189213400004519	0	0.09919659099978162	0.7172911929992551
v	109	312.2968225069999	0.29813485399972706	0.6075504149994231	0	0.14911870600008115	0.9064290549995349
n	110	315.463410078999	0.13061354700039374	0.4400768840005185	0	0.09437331600020116	0.7390340510009992
v	111	318.4608843629994	0.0943964230009442	0.4082675740010018	0	0.21672083199882763	0.7238372869996965
v	112	320.71660337200046	0.13434997199874488	0.45205353899837064	0	0.30103910000070755	0.7694874849985354
n	113	323.7439818929997	0.22666111900070973	0.54043181400084	0	0.09755176699945878	0.8556531720005296
v	114	326.1315397189992	0.09478511700035597	0.40205846299977566	0	0.14486670100086485	0.7008017500011192
v	115	329.0919764680002	0.13450828999884834	0.457141168999442	0	0.16094427600000927	0.7561548779995064
v	116	332.10669322300055	0.24773731599998428	0.558450422999158	0	0.19700001499950304	0.873647512999014
n	117	334.5125482709991	0.14573591000043962	0.46820133100118255	0	0.12145039600000018	0.7670549209997262
n	118	337.5400279919995	0.24758112900053675	0.5566009089998261	0	0.15757189100077085	0.8721210719995725
v	119	339.94418821900035	0.1785798490000161	0.4848957579997659	0	0.2889964209989557	0.7859462409996922
v	120	342.9925023119995	0.15391772300063167	0.46877479900103936	0	0.12860730499960482	0.7846477389994106
n	121	345.3087638069992	0.49516968700118014	0.8021598810009891	0	0.11102176900021732	1.100647145000039
v	122	348.6696861349992	0.09286379200057127	0.4065944379999564	0	0.15365021400066325	0.7223229190003622
n	123	350.9234781569994	0.22306825700070476	0.5353482880000229	0	0.21115056900089257	0.851154375999613
v	124	353.3062182169997	0.21628940700065868	0.5357308429993282	0	0.13218057599988242	0.8507487040005799
n	125	355.6892284349997	0.10535328200057847	0.41836275400055456	0	0.09913153999877977	0.7171475569994072
