response	trial_nr	t_start	t_set	t_ball	t_release	t_response	t_goal	t_change	new_pos	correct
n	29	881.3034139360002	881.5552567129998	882.305969177	0	882.6543835570001	882.70554102	882.6894179159999	[5]	1
v	30	884.4361459739998	884.5873288940002	885.3383748900001	0	885.622675863	885.7379350330002	885.721780203	[5]	0
n	31	887.4689319039999	887.5632791009998	888.3140509670002	0	888.5904041889999	888.7036969310002	888.6876114870001	[-5]	0
v	32	890.4341550220001	890.7152984640002	891.4660836110002	0	891.8304660660001	891.8527335950002	891.7703181530001	[5]	0
v	33	893.5841935070002	893.8028924979999	894.5540204590002	0	894.9265434009999	894.9363570410001	894.5545273369999	[-5]	1
n	34	896.6655163629998	897.0431621399998	897.794459659	0	898.0706426749998	898.1674147510003	898.0016699070002	[5]	1
v	35	899.8980668600002	900.1711004970002	900.9221328369999	0	901.1989250679999	901.2997987650001	901.2336425540002	[-5]	1
n	36	903.030277248	903.403776052	904.1545206589999	0	904.446697713	904.5487858669999	904.5326062600002	[-5]	0
v	37	906.279046352	906.4846928299999	907.2357037649999	0	907.5267497290001	907.6311683530002	907.6149965509999	[-5]	1
n	38	909.361670106	909.5485829089998	910.2997200929999	0	910.58286262	910.6801799340001	910.514534381	[5]	1
[]	39	912.4103778819999	912.4522959300002	913.2029336410001	0	0.0	913.5796826659998	913.203420801	[5]	na
v	40	915.3096443650002	915.4192718170002	916.169972233	0	916.4709506590002	916.5616987819999	916.5456177219999	[-5]	1
n	41	918.2924525540002	918.3721147440001	919.123482726	0	919.391020734	919.4943784390002	919.228426138	[-5]	0
v	42	921.2253206629998	921.3155227020002	922.0667248620002	0	922.2790556690002	922.4598950620002	922.4437242700001	[5]	0
v	43	924.1905884759999	924.467503205	925.2184603159999	0	925.527428328	925.5923209470002	925.3265446720002	[5]	0
n	44	927.3232853270001	927.4513535780002	928.202428131	0	928.4791648730002	928.5746602630002	928.3090163669999	[-5]	0
v	45	930.3049157270002	930.6995584450001	931.4503011790002	0	931.7512441939998	931.8236633810002	931.758734513	[5]	0
n	46	933.5539579820002	933.70925184	934.460335582	0	934.7592919449999	934.8393871950002	934.573675959	[5]	1
v	47	936.5699847870001	936.7566728709999	937.5077130300001	0	937.783367688	937.8884573559999	937.7227367340001	[-5]	1
n	48	939.6194038930003	939.7957472339999	940.5470561060001	0	940.87144352	940.937510619	940.9214298080001	[-5]	0
n	1	946.316741616	946.6679641250003	947.419115486	0	947.7195809139998	947.8020484489998	947.419609477	[5]	1
v	2	949.5326249200002	949.5724838169999	950.3235210580001	0	950.6796299040002	950.7011490569998	950.4355158570002	[-5]	1
n	3	952.4316398450001	952.4609146379998	953.2121521419999	0	953.5116782129999	953.5836081410002	953.2126419870001	[5]	1
v	4	955.3142607310001	955.4281125890002	956.1794759610002	0	956.4397645670001	956.566151519	956.483702219	[-5]	1
n	5	958.296723385	958.3491648660001	959.1001936160001	0	959.3841663899998	959.4817685550001	959.216065004	[5]	1
n	6	961.2123939900002	961.2772201850003	962.028282965	0	962.2641505820002	962.4142301239999	962.2317952389999	[5]	1
v	7	964.1449954579998	964.405494692	965.1565801360002	0	965.527954918	965.546594374	965.531959211	[5]	0
n	8	967.27722683	967.3724374459998	968.1236683960001	0	968.4079736150002	968.4956676400002	968.329909861	[-5]	0
v	9	970.2273218230002	970.3176291129998	971.0688390250002	0	971.3920403349998	971.444768588	971.1790412149999	[5]	0
v	10	973.175157916	973.468766473	974.2199615469999	0	974.568103309	974.5938351240002	974.220452647	[-5]	1
n	11	976.3244064149999	976.3495711609999	977.1006358569998	0	977.344474514	977.4929304020002	977.4767812250002	[-5]	0
v	12	979.223349336	979.3974880410001	980.1485237530001	0	980.408468567	980.5419400440001	980.5257799730002	[-5]	1
n	13	982.272584368	982.4446733260002	983.1958444430002	0	983.4962970229999	983.5743589600002	983.408599335	[-5]	0
v	14	985.30482966	985.3971538800001	986.1480965740002	0	986.4643520149998	986.5401083780002	986.5239762290003	[-5]	1
v	15	988.270687358	988.3252680410001	989.0761278220002	0	989.35242096	989.4559294360001	989.1901671330002	[5]	0
v	16	991.1866500679998	991.333419739	992.0841103510002	0	992.3845767399998	992.4549403659998	992.3904518140002	[5]	0
n	17	994.1855749760002	994.2611723260002	995.0122294080002	0	995.280534298	995.4041038300002	995.3878892900002	[-5]	0
v	18	997.1348105810002	997.197776725	997.9484621050001	0	998.2326039760001	998.3198613099999	998.1540677140001	[5]	0
